,Player,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,PAtt,PrgP,Carries,PrgC,DAtt,Succ,PCmp%,#,Nation,Pos,Age,Team,annual_wages,total_transfers
0,Hugo Lloris,6840,0,0,0,0,0,0,2,0,2185,1,1,0,0,0,0.2,8,4,1568,2036,0,1095,0,0,0,0.770137525,1,FRA,GK,34-232,Tottenham,5200000,699.47
1,Alban Lafont,6840,0,0,0,0,0,0,5,0,2476,4,1,2,0,0,0,5,1,1337,2238,0,1229,0,0,0,0.5974084,1,FRA,GK,22-195,Nantes,1020000,145.4
2,Jan Oblak,6840,0,0,0,0,1,0,2,0,2230,0,1,0,0,0,0,8,1,1282,2099,0,1032,0,3,3,0.610767032,13,SVN,GK,28-220,Atlético Madrid,20800000,1271.6
3,Walter Benitez,6750,0,0,0,0,0,0,5,0,2403,1,1,2,0,0,0,6,1,1771,2258,1,1356,0,0,0,0.784322409,40,ARG,GK,28-201,Nice,1030000,348.652
4,Kasper Schmeichel,6750,0,0,0,0,0,0,2,0,2700,0,1,0,0,0,0,10,3,1872,2545,2,1402,1,3,2,0.735559921,1,DEN,GK,34-282,Leicester City,6760000,721.915
5,Rui Patricio,6749,0,0,0,0,0,0,3,0,2008,0,1,1,0,0,0,5,0,1390,1891,2,986,0,1,1,0.735060814,1,POR,GK,33-188,Roma,3460000,1045.163
6,Predrag Rajkovic,6705,0,0,0,0,0,0,5,0,2918,4,3,2,0,0,0,14,1,1864,2717,1,1619,0,3,3,0.686050791,1,SRB,GK,25-281,Reims,720000,131.05
8,Emiliano Martinez,6660,0,0,0,0,0,0,5,0,2562,4,2,0,0,0,0.2,10,2,1696,2422,0,1421,0,0,0,0.700247729,1,ARG,GK,28-346,Aston Villa,2470000,523.44
9,Thibaut Courtois,6660,0,0,0,0,0,0,1,0,2604,1,1,1,0,0,0,7,0,2023,2460,1,1552,0,0,0,0.822357724,1,BEL,GK,29-095,Real Madrid,11820000,1178.05
10,Andrea Consigli,6652,0,0,0,0,0,0,3,0,3036,2,0,0,0,0,0,12,2,2263,2827,1,1774,0,0,0,0.800495225,47,ITA,GK,34-206,Sassuolo,1850000,428.985
